;FECHA;CONCEPTO; VALOR  ;Proveedor;Observación
;martes, 7 de enero de 2025;Compras; $ 186,00 ;Reach ALL;
;miércoles, 8 de enero de 2025;Compras; $ 84,00 ;ELA Superior Produce ;
;miércoles, 8 de enero de 2025;Compras; $ 217,56 ;Tropical Cheese;
;jueves, 9 de enero de 2025;Compras; $ 18,00 ;ELA Superior Produce ;
;jueves, 9 de enero de 2025;Compras; $ 929,90 ;KHL Flavors;
;jueves, 9 de enero de 2025;Compras; $ 357,78 ;Del Caribe Meat;
;jueves, 9 de enero de 2025;Compras; $ 350,00 ;P&A Produce LLC;
;jueves, 9 de enero de 2025;Compras; $ 969,50 ;Grubmarket - General;
;jueves, 9 de enero de 2025;Compras; $ 285,00 ;S&J Global Trading;
;sábado, 11 de enero de 2025;Compras; $ 47,00 ;INP Food;
;sábado, 11 de enero de 2025;Compras; $ 340,00 ;P&A Produce LLC;
;sábado, 11 de enero de 2025;Compras; $ 577,00 ;Grubmarket - General;
;viernes, 10 de enero de 2025;Compras; $ 240,00 ;ELA Superior Produce ;
;viernes, 10 de enero de 2025;Compras; $ 197,39 ;Cordialsa USA;
;viernes, 10 de enero de 2025;Compras; $ 579,50 ;Grubmarket - General;
;jueves, 9 de enero de 2025;Compras; $ 399,89 ;Distribuidora Quisqueya;
;viernes, 10 de enero de 2025;Compras; $ 407,50 ;Cibao Meat Products;
;viernes, 3 de enero de 2025;Compras; $ 583,07 ;Jetro     fact  añadida despues;
;sábado, 4 de enero de 2025;Compras; $ 328,60 ;Jetro;
;lunes, 13 de enero de 2025;Compras; $ 160,00 ;P&A Produce LLC;
;martes, 7 de enero de 2025;Compras; $ 539,82 ;Jetro;
;martes, 14 de enero de 2025;Compras; $ 40,00 ;Fresh Enterprise;
;martes, 14 de enero de 2025;Compras; $ 323,00 ;ELA Superior Produce ;
;martes, 14 de enero de 2025;Compras; $ 624,00 ;P&A Produce LLC;
;martes, 14 de enero de 2025;Compras; $ 332,00 ;S&J Global Trading;
;martes, 14 de enero de 2025;Compras; $ 90,00 ;P&A Produce LLC;
;martes, 14 de enero de 2025;Compras; $ 873,00 ;Grubmarket - General;
;martes, 14 de enero de 2025;Compras; $ 271,99 ;Wholesale Co;
;jueves, 16 de enero de 2025;Compras; $ 656,90 ;Distribuidora Quisqueya;
;jueves, 16 de enero de 2025;Compras; $ 554,50 ;P&A Produce LLC;
;jueves, 16 de enero de 2025;Compras; $ 26,00 ;Grubmarket - General;
;jueves, 16 de enero de 2025;Compras; $ 731,00 ;Grubmarket - General;
;jueves, 16 de enero de 2025;Compras; $ 292,00 ;S&J Global Trading;
;jueves, 16 de enero de 2025;Compras; $ 301,24 ;Tropical Cheese;
;lunes, 13 de enero de 2025;Compras; $ 618,58 ;Jetro;
;viernes, 31 de enero de 2025;Compras; $ 791,50 ;P&A Produce LLC;
;viernes, 31 de enero de 2025;Compras; $ 1.180,00 ;Grubmarket - General;
;viernes, 31 de enero de 2025;; $ 1.503,40 ;Sin Factura;
;jueves, 30 de enero de 2025;Compras; $ 279,40 ;Distribuidora Quisqueya;
;jueves, 30 de enero de 2025;Compras; $ 275,00 ;P&A Produce LLC;
;jueves, 30 de enero de 2025;Compras; $ 64,00 ;P&A Produce LLC;
;jueves, 30 de enero de 2025;Compras; $ 903,00 ;Grubmarket - General;
;miércoles, 15 de enero de 2025;Compras; $ 435,22 ;Jetro;
;martes, 28 de enero de 2025;Compras; $ 382,02 ;Tropical Cheese;
;martes, 28 de enero de 2025;Compras; $ 268,00 ;S&J Global Trading;
;martes, 28 de enero de 2025;Compras; $ 60,00 ;Grubmarket - General;
;martes, 28 de enero de 2025;Compras; $ 653,00 ;P&A Produce LLC;
;martes, 28 de enero de 2025;Compras; $ 587,00 ;Grubmarket - General;
;miércoles, 29 de enero de 2025;Compras; $ 543,70 ;Family Food Distributors;
;lunes, 20 de enero de 2025;Compras; $ 60,00 ;BP;
;lunes, 20 de enero de 2025;Compras; $ 71,00 ;INP Food Town;
;lunes, 20 de enero de 2025;Compras; $ 100,00 ;La Tortillera;
;lunes, 20 de enero de 2025;Compras; $ 642,00 ;Grubmarket - General;
;lunes, 20 de enero de 2025;Compras; $ 463,00 ;P&A Produce LLC;
;lunes, 20 de enero de 2025;Compras; $ 1.366,00 ;Goya;
;lunes, 20 de enero de 2025;Compras; $ 36,77 ;Goya;
;lunes, 20 de enero de 2025;Compras; $ 140,44 ;Goya;
;lunes, 20 de enero de 2025;Compras; $ 245,72 ;Goya;
;lunes, 20 de enero de 2025;Compras;-$ 171,00 ;Hay Facturas pero no esta en recibo de caja;
;viernes, 17 de enero de 2025;Compras; $ 1.024,00 ;Jetro;
;miércoles, 22 de enero de 2025;Compras; $ 40,00 ;Fresh Enterprise;
;martes, 21 de enero de 2025;Compras; $ 320,00 ;Reach ALL;
;martes, 21 de enero de 2025;Compras; $ 191,78 ;Tropical Cheese;
;martes, 21 de enero de 2025;Compras; $ 840,00 ;Grubmarket - General;
;martes, 21 de enero de 2025;Compras; $ 23,00 ;Grubmarket - General;
;martes, 21 de enero de 2025;Compras; $ 176,00 ;P&A Produce LLC;
;martes, 21 de enero de 2025;Compras; $ 185,00 ;S&J Global Trading;
;martes, 21 de enero de 2025;Compras; $ 523,00 ;P&A Produce LLC;
;martes, 21 de enero de 2025;Compras; $ 1.014,00 ;Grubmarket - General;
;martes, 21 de enero de 2025;Compras;-$ 1.073,00 ;Hay Facturas pero no esta en recibo de caja;
;jueves, 23 de enero de 2025;Compras; $ 54,77 ;Walmart;
;jueves, 23 de enero de 2025;Compras; $ 365,09 ;Walmart;
;jueves, 23 de enero de 2025;Compras; $ 187,48 ;Walmart;
;jueves, 23 de enero de 2025;Compras; $ 913,29 ;Distribuidora Quisqueya;
;jueves, 23 de enero de 2025;Compras; $ 571,00 ;P&A Produce LLC;
;jueves, 23 de enero de 2025;Compras; $ 876,00 ;Grubmarket - General;
;jueves, 23 de enero de 2025;Compras;-$ 134,00 ;Hay Facturas pero no esta en recibo de caja;
;sábado, 25 de enero de 2025;Compras; $ 38,00 ;Grubmarket - General;
;sábado, 25 de enero de 2025;Compras; $ 38,00 ;Grubmarket - General;
;sábado, 25 de enero de 2025;Compras; $ 1.105,00 ;Grubmarket - General;
;sábado, 25 de enero de 2025;Compras; $ 255,00 ;S&J Global Trading;
;sábado, 25 de enero de 2025;Compras; $ 253,00 ;P&A Produce LLC;
;martes, 21 de enero de 2025;Compras; $ 692,83 ;Jetro;
;lunes, 27 de enero de 2025;Compras; $ 32,00 ;Grubmarket - General;
;lunes, 27 de enero de 2025;Compras; $ 430,00 ;Grubmarket - General;
;lunes, 27 de enero de 2025;Compras; $ 28,00 ;Grubmarket - General;
;lunes, 27 de enero de 2025;Compras; $ 159,00 ;Grubmarket - General;
;viernes, 17 de enero de 2025;Compras; $ 70,00 ;Fresh Enterprise;No hay recibo de caja pero hay Factura
;viernes, 17 de enero de 2025;Compras; $ 16,00 ;P&A Produce LLC;No hay recibo de caja pero hay Factura
;viernes, 17 de enero de 2025;Compras; $ 216,00 ;P&A Produce LLC;No hay recibo de caja pero hay Factura
;viernes, 17 de enero de 2025;Compras; $ 590,00 ;P&A Produce LLC;No hay recibo de caja pero hay Factura
;viernes, 17 de enero de 2025;Compras; $ 38,00 ;Grubmarket - General;No hay recibo de caja pero hay Factura
;viernes, 17 de enero de 2025;Compras; $ 629,00 ;Grubmarket - General;No hay recibo de caja pero hay Factura
;viernes, 17 de enero de 2025;Compras; $ 40,00 ;S&J Global Trading;No hay recibo de caja pero hay Factura
;lunes, 27 de enero de 2025;Compras; $ 495,08 ;Jetro;
;jueves, 23 de enero de 2025;Compras; $ 148,00 ;Primos Bakery Cors;
;sábado, 4 de enero de 2025;Compras; $ 317,83 ;Top Discount;
;martes, 28 de enero de 2025;Compras; $ 351,53 ;Jetro;
;sábado, 4 de enero de 2025;Compras; $ 131,76 ;B'JS;
;sábado, 4 de enero de 2025;Compras; $ 8,00 ;;no es recibo - Lemonade Simply
;sábado, 4 de enero de 2025;Compras; $ 255,00 ;S&J Global Trading;
;sábado, 4 de enero de 2025;Compras; $ 217,00 ;Grubmarket - General;
;sábado, 4 de enero de 2025;Compras; $ 353,00 ;P&A Produce LLC;
;martes, 1 de abril de 2025;Compras; $ 317,83 ;Wholesale Co;
;jueves, 2 de enero de 2025;Compras; $ 378,95 ;Distribuidora Quisqueya;
;viernes, 3 de enero de 2025;Compras; $ 104,00 ;ELA Superior Produce ;
;viernes, 3 de enero de 2025;Compras; $ 541,00 ;Grubmarket - General;
;viernes, 3 de enero de 2025;Compras; $ 1.057,00 ;Grubmarket - General;
;viernes, 3 de enero de 2025;Compras; $ 78,00 ;P&A Produce LLC;
;viernes, 3 de enero de 2025;Compras; $ 501,00 ;P&A Produce LLC;
;viernes, 3 de enero de 2025;Compras; $ 321,00 ;F&H Dairies;
;viernes, 3 de enero de 2025;Compras; $ 60,00 ;P&A Produce LLC;
;viernes, 3 de enero de 2025;Compras; $ 32,00 ;Grubmarket - General;
;martes, 7 de enero de 2025;Compras; $ 70,00 ;BP;
;viernes, 31 de enero de 2025;Compras; $ 471,82 ;Jetro;
;martes, 7 de enero de 2025;Compras; $ 28,00 ;ELA Superior Produce ;
;martes, 7 de enero de 2025;Compras; $ 48,00 ;ELA Superior Produce ;
;martes, 7 de enero de 2025;Compras; $ 218,00 ;Primos Bakery Cors;
;martes, 7 de enero de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;martes, 7 de enero de 2025;Compras; $ 1.508,00 ;Grubmarket - General;
;martes, 7 de enero de 2025;Compras; $ 146,00 ;S&J Global Trading;
;martes, 7 de enero de 2025;Compras; $ 131,00 ;INP Food;
;martes, 7 de enero de 2025;Compras; $ 553,50 ;P&A Produce LLC;
;martes, 7 de enero de 2025;Compras; $ 40,00 ;S&J Global Trading;
;martes, 7 de enero de 2025;Compras; $ 348,00 ;P&A Produce LLC;
;martes, 7 de enero de 2025;Compras; $ 374,00 ;Grubmarket - General;
;martes, 7 de enero de 2025;Compras; $ 102,00 ;Veloz Cargo service;
;lunes, 6 de enero de 2025;Compras; $ 860,00 ;Sin identificar Proveedor;
;lunes, 6 de enero de 2025;Compras; $ 100,00 ;La Tortillera;
;lunes, 6 de enero de 2025;Compras; $ 808,50 ;Grubmarket - General;
;lunes, 6 de enero de 2025;Compras; $ 304,32 ;Goya;
;lunes, 6 de enero de 2025;Compras; $ 929,18 ;Goya;
;lunes, 6 de enero de 2025;Compras; $ 429,00 ;AL&C ;
;jueves, 12 de diciembre de 2024;Compras; $ 180,00 ;Romeros;Factura 274
;jueves, 27 de febrero de 2025;Compras; $ 800,00 ;Romeros;Factura 174
;jueves, 27 de febrero de 2025;Compras; $ 804,00 ;Distribuidora Quisqueya;
;jueves, 27 de febrero de 2025;Compras; $ 697,20 ;Wholesale Co;
;martes, 4 de febrero de 2025;Compras; $ 512,51 ;Jetro;
;viernes, 28 de febrero de 2025;Compras; $ 1.271,00 ;Grubmarket - General;
;viernes, 28 de febrero de 2025;Compras; $ 117,00 ;S&J Global Trading;
;viernes, 28 de febrero de 2025;Compras; $ 89,00 ;Grubmarket - General;
;martes, 25 de febrero de 2025;Compras; $ 393,00 ;B'JS;
;martes, 25 de febrero de 2025;Compras; $ 212,63 ;Walmart;
;martes, 25 de febrero de 2025;Compras; $ 67,18 ;Walmart;
;martes, 25 de febrero de 2025;Compras; $ 523,56 ;Walmart;
;miércoles, 26 de febrero de 2025;Compras; $ 178,85 ;Family Food Distributors;
;miércoles, 26 de febrero de 2025;Compras; $ 1.065,85 ;KHL Flavors;
;lunes, 24 de febrero de 2025;Compras; $ 729,00 ;Grubmarket - General;
;lunes, 24 de febrero de 2025;Compras; $ 227,00 ;P&A Produce LLC;
;sábado, 8 de febrero de 2025;Compras; $ 329,23 ;Jetro;
;martes, 25 de febrero de 2025;Compras; $ 120,00 ;no factura;
;martes, 25 de febrero de 2025;Compras; $ 629,00 ;P&A Produce LLC;
;martes, 25 de febrero de 2025;Compras; $ 61,00 ;S&J Global Trading;
;martes, 25 de febrero de 2025;Compras; $ 48,00 ;Grubmarket - General;
;martes, 25 de febrero de 2025;Compras; $ 616,00 ;Grubmarket - General;
;martes, 25 de febrero de 2025;Compras; $ 333,48 ;Tropical Cheese;
;martes, 25 de febrero de 2025;Compras; $ 12,92 ;Tropical Cheese;
;sábado, 22 de febrero de 2025;Compras; $ 70,00 ;BP;
;sábado, 22 de febrero de 2025;Compras; $ 54,09 ;AMD;
;sábado, 8 de febrero de 2025;Compras; $ 121,85 ;Jetro;
;sábado, 22 de febrero de 2025;Compras; $ 28,00 ;P&A Produce LLC;
