"UPC","Item","Department","Quantity on Hand","Total Cost"
"10213810","Artificial vanilla flavor","General Food","6",""
"23000025","Chees puffs","Snacks","11",""
"36120000","EGGS EXTRA LARGE.","Deli","30",""
"39969262","Sour cream","Deli","6",""
"50029501","Valles andino","General Food","4",""
"52628498","Goya adobo all purpose","General Food","8",""
"72192511","Dove invidible dru","Hygiene","3",""
"74105397","Viro Grip","Vitamins/Medicine","13",""
"74105403","Vi_grip PM","Vitamins/Medicine","21",""
"98779987","Gomenol","Vitamins/Medicine","54",""
"000856003033","Rompe Pecho DM Cough Suppressant / Expectorant","Vitamins/Medicine","0",""
"000856301054","Rompe Pecho NT Noche Severa","Vitamins/Medicine","3",""
"000856301061","Rompe Pecho Expectorant","Vitamins/Medicine","2",""
"000856351554","Rompe pecho flu multisintoma","Vitamins/Medicine","1",""
"000856351608","DM Rompe Pechito Niños","Vitamins/Medicine","1",""
"009800802203","Nutella Ferrero Hazelnut Spread With Cocoa","General Food","3",""
"009800830039","Nutella biscuits","Snacks","0",""
"009800895007","Nutella","General Food","0",""
"010900000154","Reynolds Wrap Aluminum Foil:Aluminum Foil","Household","12",""
"010900000246","Reynolds Wrap Aluminum Foil:Heavy Duty","Household","16",""
"010900000406","Reynolds Wrap Aluminum Foil","Household","6",""
"010900005104","Reynolds Turkey Size","Misc.","9",""
"012000001130","Pepsi Cola","Drinks","-2",""
"012000001291","Pepsi Cola","Drinks","-5",""
"012000001314","Mountain Dew","Drinks","4",""
"012000003691","Lipton Brisk Lemon","Drinks","4",""
"012000004100","Starbucks Frappuccino Vanilla","Drinks","12",""
"012000004520","Starbucks Frappuccino Mocha","Drinks","7",""
"012000005688","Pepsi","Drinks","-89",""
"012000006494","Starbucks Frappuccino Mocha","Drinks","-7",""
"012000007590","Lipton Brisk Lemon","General Food","-10",""
"012000202377","Lipton Brisk Lemon","Drinks","5",""
"012005005713","Pink Zote Soap","Hygiene","14",""
"012005005737","Zote White Laundry Soap","Hygiene","23",""
"012044000274","Old Spice High Endurance Pure Sport Scent Men's Deodorant","Hygiene","2",""
"012587000700","Glad","Household","5",""
"012587000809","Glad Quick-Tie Trash Bags Large 30 Gallon","Household","3",""
"012957100016","Salsa Huichol Hot Sauce","General Food","5",""
"013000001243","Heinz Tomato Ketchup","General Food","-8",""
"013000008129","Heinz: Apple Cider Vinegar","General Food","33",""
"013000008143","Heinz:Apple Cider","General Food","10",""
"013000008525","Heinz Distilled White Vinegar","Produce","18",""
"013000008549","Heinz Distilled White Vinegar","General Food","12",""
"013000013093","Mayochup","General Food","5",""
"013300601334","Funfetti","General Food","0",""
"013700006142","Hefty Ultra Flex:Large Drawstring 30 Gallon","Household","0",""
"014100043706","MILANO COOKIE","Snacks","4",""
"014800000320","Mott's Apple Juice","Drinks","14",""
"014800000344","Mott's Original","Drinks","-6",""
"014800000405","Clamato","Drinks","9",""
"014800002294","Motts Juice Original, 100%, Apple","Drinks","5",""
"014800003604","Clamato Tomato Cocktail","Drinks","3",""
"014800582048","ReaLime Lime Juice","General Food","2",""
"014800582239","ReaLemon: 100% Lemon Juice Concentrate","General Food","4",""
"014800582260","ReaLemon:from Concentrate","General Food","2",""
"015414541216","Walkerswood: Jamaican Jerk Seasoning Hot & Spicy","General Food","1",""
"015900002115","Bar S:Jumbo Franks","General Food","7",""
"016000106109","Gold Medal:All-Purpose Flour","General Food","0",""
"016000107106","Gold Medal:Enriched Bleached Pre-Sifted Flour, All-Purpose","General Food","5",""
"016000169630","Creat chocolate chip","General Food","5",""
"016000169678","LUCKY CHARMS","General Food","1",""
"016000169692","Reeses","General Food","3",""
"016000171138","CINNAMON TOAST CRUNCH","General Food","-1",""
"016000207592","Super Moist","General Food","1",""
"016000207684","fudge","General Food","6",""
"016000458307","Betty Crocker:Frosting, Vanilla","General Food","2",""
"016000459007","Betty Crocker :Milk Chocolate","General Food","2",""
"016229106102","Foco:Sugar Cane Juice","Drinks","14",""
"016229901141","Foco Coconut Juice","Drinks","-9",""
"016229901158","Foco: Tamarind Juice","Drinks","20",""
"016229901479","Foco Coconut Juice","Drinks","-7",""
"016229903534","Foco Soursop Juice","Drinks","6",""
"016229905835","Foco Tamarind Juice","Drinks","-9",""
"016229908515","foco coco","Drinks","24",""
"017400102456","CAROLINA RICE","General Food","-4",""
"017400111694","Carolina Enriched Extra Long Grain Rice","General Food","2",""
"017600043214","Bruce's Cut Sweet Potatoes In Syrup Yams","General Food","2",""
"019800707668","Windex","Cleaning","2",""
"019900338021","Davis Baking Powder","General Food","4",""
"020100000069","Beach Cliff Sarines","General Food","62",""
"021000000142","Kraft Philadelphia Regular","Dairy","-1",""
"021000026326","Kraft Mayo:Real Mayonnaise","General Food","0",""
"021000033720","Mac &chesse","General Food","1",""
"021000052288","Kraft: Original BBQ Sauce & Dip","General Food","10",""
"021000052332","Kraft Barbecue Sauce Thick & Spicy","General Food","10",""
"021000052424","Kraft Sweet Brown Sugar","General Food","1",""
"021000068661","Sweet Teriyaki","General Food","2",""
"021000612239","Kraft Philadelphia:Original","Deli","1",""
"021000615261","Kraft:American","Deli","0",""
"021000615278","Kraft Singles:White American 24 Ct","General Food","3",""
"021000615315","Kraft:100% Grated","General Food","2",""
"021000615421","Kraft:100% Grated","General Food","11",""
"021000658831","Kraft:Original","General Food","26",""
"021000658862","Kraft Deluxe - Original Cheddar","General Food","3",""
"022652191493","Parrot Coconut Milk","General Food","13",""
"023400016020","Soft Scrub:W/Bleach","Cleaning","0",""
"024000162865","Del Monte Fresh Cut:Blue Lake","General Food","0",""
"024000162896","Del Monte Fresh Cut:Blue Lake","General Food","20",""
"024000162971","Del Monte Fresh Cut:with Natural Sea Salt","General Food","3",""
"024000163015","Del Monte Fresh Cut:Cream Style","General Food","25",""
"024000163022","Del Monte Fresh Cut Golden Sweet","General Food","9",""
"024000167044","Del Monte Fruit Cocktail","General Food","8",""
"024000167198","Del Monte:Yellow Cling In Extra Light Syrup","Produce","13",""
"024000167297","Del Monte Sliced Pears","General Food","2",""
"024000248866","Del monte Deluxe pineaple","General Food","6",""
"024100106851","Cheez-It:Original","Snacks","5",""
"024100122615","Cheez-It Baked Snack Crackers","Snacks","0",""
"024100124725","CHEEZ IT CHEESY TACO","Snacks","2",""
"024286150716","GLOBULO ROJO JARABE 16 fl. oz.","Vitamins/Medicine","1",""
"024286154653","DLC ACEITE DE EUCALIPTO 2 fl. oz.","Vitamins/Medicine","2",""
"024286191009","aloe vera cream","Vitamins/Medicine","4",""
"024300808388","Honey bun","Snacks","0",""
"024300865411","Little Debbie Iced Honey Bun","Snacks","0",""
"024600010511","Morton Salt","General Food","24",""
"024600010535","Morton Iodized Salt","General Food","-1",""
"024600011945","Himalayan pink sal","General Food","0",""
"024600017022","Morton Coarse Kosher Salt","General Food","8",""
"025000019708","Minute Maid Premium Strawberry Lemonade","Drinks","5",""
"025000044984","LEMONADE","Drinks","-9",""
"025000047695","Minute Maid Premium:Tropical Punch","Drinks","0",""
"025000047725","Minute Maid Premium Fruit Punch","Drinks","3",""
"025000048111","Minute Maid:Watermelon","Drinks","4",""
"025000058868","Minute Maid Pink Lemonade","Drinks","-6",""
"025293001497","silk almond 30 cal","Dairy","0",""
"025700003885","Ziploc Freezer Bag (Set of 20)","Household","6",""
"025700011323","Ziploc:2 Gallon - Heavy Duty","Misc.","0",""
"026700159916","Coconut oil","General Food","2",""
"027000311431","Parkay Whipped Vegetable Oil","Dairy","1",""
"027000388112","Hunt's:Tomato Paste","General Food","17",""
"027000388150","Hunt's Tomato Paste","General Food","14",""
"027000388273","Hunt's:Tomato Paste","General Food","12",""
